road_id,road_name,road_type,length_km,lanes,speed_limit_kmh,capacity_vehicles_per_hour,has_bus_lane,has_bike_lane,surface_condition,last_maintenance_date,latitude_start,longitude_start,latitude_end,longitude_end,district,toll_rate_rp,avg_daily_traffic
RD-0017,Jl. Segment 17,Jalan Lingkungan,2.5,2,30,1450,0,0,Rusak Ringan,2022-07-18,-6.131182,106.871686,-6.120366,106.882082,Sunter,0,1785
RD-0018,Jl. Segment 18,Jalan Lokal,2.0,2,40,1130,0,1,Baik,2022-07-06,-6.155299,106.704811,-6.1648,106.717272,Depok,0,1227
RD-0019,Jl. Segment 19,Jalan Tol,6.9,6,120,9516,0,0,Rusak Ringan,2022-07-26,-6.337315,106.916754,-6.331825,106.901584,Depok,10000,11108
RD-0020,Jl. Segment 20,Jalan Arteri,6.7,4,60,4944,0,1,Baik,2022-08-10,-6.257387,106.867806,-6.276099,106.856642,Mangga Dua,0,4556
RD-0021,Jl. Segment 21,Jalan Kolektor,4.8,2,50,2806,0,0,Baik,2023-10-21,-6.284543,106.774239,-6.29749,106.775623,Cibubur,0,3393
RD-0022,Jl. Segment 22,Jalan Tol,10.2,4,120,6608,1,0,Baik,2022-05-13,-6.328966,106.707738,-6.311757,106.692739,Blok M,7000,6766
RD-0023,Jl. Segment 23,Jalan Arteri,7.8,4,80,6620,0,0,Cukup,2024-01-24,-6.119639,106.708231,-6.115076,106.718312,Kuningan,0,7833
RD-0024,Jl. Segment 24,Jalan Tol,23.0,8,100,12016,0,0,Rusak Berat,2022-12-28,-6.106264,106.860745,-6.1089,106.8777,Menteng,5000,19568
RD-0025,Jl. Segment 25,Jalan Kolektor,2.0,4,50,5560,0,1,Baik,2023-08-15,-6.213941,106.917911,-6.201336,106.898524,Tangerang,0,5357
RD-0026,Jl. Segment 26,Jalan Lokal,0.8,1,30,546,0,1,Cukup,2022-06-15,-6.234315,106.877826,-6.241356,106.867461,Bekasi,0,741
RD-0027,Jl. Segment 27,Jalan Tol,23.2,4,120,7092,1,0,Baik,2022-08-18,-6.331469,106.820205,-6.331732,106.833046,Bekasi,25000,8579
RD-0028,Jl. Segment 28,Jalan Kolektor,4.5,4,50,4316,0,0,Baik,2022-10-08,-6.157486,106.795632,-6.17335,106.814874,Mangga Dua,0,4040
RD-0029,Jl. Segment 29,Jalan Tol,16.9,8,120,15928,0,0,Baik,2023-09-18,-6.20808,106.805432,-6.208972,106.798953,Cibubur,5000,26405
RD-0030,Jl. Segment 30,Jalan Lokal,1.4,2,30,1164,0,1,Rusak Ringan,2022-04-06,-6.340319,106.750998,-6.352328,106.742079,Sunter,0,1111
RD-0031,Jl. Segment 31,Jalan Kolektor,4.6,4,60,3264,0,0,Baik,2023-07-04,-6.302765,106.825749,-6.312727,106.836804,Bekasi,0,4867
RD-0032,Jl. Segment 32,Jalan Tol,5.6,4,120,7748,0,0,Cukup,2022-11-21,-6.295865,106.703131,-6.303513,106.692182,Blok M,15000,5793
RD-0033,Jl. Segment 33,Jalan Arteri,6.7,4,80,5848,1,1,Baik,2024-02-15,-6.133781,106.923052,-6.130973,106.912178,Cawang,0,10333
RD-0034,Jl. Segment 34,Jalan Arteri,4.7,4,50,5096,0,1,Cukup,2022-07-06,-6.307676,106.977854,-6.306204,106.963399,Bekasi,0,9331
RD-0035,Jl. Segment 35,Jalan Tol,7.4,6,100,10446,0,0,Baik,2023-11-16,-6.211326,106.908637,-6.207009,106.918927,Bekasi,15000,13694
RD-0036,Jl. Segment 36,Jalan Tol,19.9,6,120,9684,0,0,Baik,2023-02-05,-6.195703,106.716284,-6.187617,106.71743,Sunter,15000,9039
RD-0037,Jl. Segment 37,Jalan Arteri,5.8,4,60,6756,0,0,Rusak Ringan,2022-04-16,-6.237178,106.966539,-6.220745,106.968809,Bekasi,0,9007
RD-0038,Jl. Segment 38,Jalan Tol,13.4,4,100,6060,1,0,Cukup,2024-01-14,-6.255654,106.865781,-6.267243,106.868851,Slipi,15000,6540
RD-0039,Jl. Segment 39,Jalan Lokal,2.7,1,30,696,0,0,Baik,2024-01-18,-6.20822,106.765446,-6.225599,106.750115,Cawang,0,833
RD-0040,Jl. Segment 40,Jalan Arteri,9.9,4,50,5128,1,0,Baik,2022-12-18,-6.31123,106.808039,-6.300634,106.817792,Senen,0,3556
RD-0041,Jl. Segment 41,Jalan Lingkungan,2.0,2,30,1300,0,1,Baik,2022-09-03,-6.103,106.968562,-6.08808,106.962212,Depok,0,1473
RD-0042,Jl. Segment 42,Jalan Arteri,2.1,4,60,6800,0,1,Baik,2023-05-29,-6.343794,106.894,-6.335494,106.88213,Sudirman,0,8926
RD-0043,Jl. Segment 43,Jalan Arteri,9.8,4,80,5616,0,0,Cukup,2022-10-30,-6.208711,106.921881,-6.19412,106.919037,Menteng,0,5905
RD-0044,Jl. Segment 44,Jalan Kolektor,2.4,4,50,5176,0,0,Baik,2023-12-23,-6.229034,106.831505,-6.209939,106.835268,Blok M,0,7289
RD-0045,Jl. Segment 45,Jalan Lokal,1.2,2,40,1214,0,1,Baik,2022-05-03,-6.24985,106.960055,-6.235029,106.973745,Sudirman,0,2190
RD-0046,Jl. Segment 46,Jalan Kolektor,2.4,2,50,1792,0,0,Rusak Ringan,2023-10-20,-6.306051,106.807472,-6.29542,106.826816,Grogol,0,1717
RD-0047,Jl. Segment 47,Jalan Kolektor,4.8,2,50,2360,0,1,Baik,2022-09-28,-6.253993,106.985657,-6.251372,106.985207,PIK,0,2677
RD-0048,Jl. Segment 48,Jalan Tol,15.0,6,120,11358,0,0,Cukup,2023-06-03,-6.190875,106.990832,-6.175762,106.983009,Sudirman,25000,12645
RD-0049,Jl. Segment 49,Jalan Arteri,9.4,6,50,8484,1,1,Cukup,2022-09-02,-6.104959,106.888168,-6.099909,106.876058,PIK,0,5462
RD-0050,Jl. Segment 50,Jalan Kolektor,1.3,4,50,5268,0,0,Rusak Ringan,2022-10-18,-6.289013,106.84468,-6.294917,106.858594,Senen,0,10230
RD-0051,Jl. Segment 51,Jalan Tol,18.6,4,120,7540,0,0,Baik,2023-08-14,-6.14526,106.981656,-6.163189,106.972645,Kelapa Gading,10000,10056
RD-0052,Jl. Segment 52,Jalan Kolektor,4.9,4,40,4640,0,1,Baik,2023-09-01,-6.229081,106.803191,-6.235803,106.821158,Kuningan,0,4230
RD-0053,Jl. Segment 53,Jalan Lingkungan,1.8,2,40,1474,0,1,Baik,2022-06-23,-6.265586,106.820777,-6.248516,106.822925,Blok M,0,1249
RD-0054,Jl. Segment 54,Jalan Lingkungan,1.6,1,40,794,0,1,Baik,2023-04-18,-6.248266,106.944855,-6.263402,106.934445,Menteng,0,1313
RD-0055,Jl. Segment 55,Jalan Lokal,1.3,1,30,667,0,0,Cukup,2023-05-14,-6.158559,106.964674,-6.168304,106.978782,PIK,0,447
RD-0056,Jl. Segment 56,Jalan Lingkungan,1.7,1,20,487,0,1,Baik,2022-04-20,-6.126174,106.845759,-6.128503,106.844642,Kuningan,0,665
RD-0057,Jl. Segment 57,Jalan Lokal,0.8,2,20,1554,0,1,Cukup,2023-09-03,-6.101649,106.907809,-6.112092,106.907348,Kelapa Gading,0,1445
RD-0058,Jl. Segment 58,Jalan Lokal,1.9,1,40,707,0,1,Cukup,2022-08-24,-6.133348,106.85001,-6.129656,106.852343,Pluit,0,661
RD-0059,Jl. Segment 59,Jalan Tol,9.4,4,80,7372,0,0,Cukup,2022-04-08,-6.113926,106.836515,-6.109108,106.845549,Kelapa Gading,7000,5203
RD-0060,Jl. Segment 60,Jalan Lingkungan,0.9,2,30,916,0,0,Rusak Ringan,2023-04-24,-6.341224,106.83104,-6.344775,106.846195,Kelapa Gading,0,1402
RD-0061,Jl. Segment 61,Jalan Lokal,1.0,1,40,748,0,1,Cukup,2022-05-25,-6.119442,106.741716,-6.099976,106.730684,Kuningan,0,784
RD-0062,Jl. Segment 62,Jalan Arteri,2.6,6,60,7344,0,0,Cukup,2024-01-24,-6.199883,106.73594,-6.214523,106.718587,Cibubur,0,14044
RD-0063,Jl. Segment 63,Jalan Arteri,9.9,6,50,9618,1,1,Cukup,2023-04-13,-6.267911,106.948252,-6.250185,106.948383,Depok,0,12710
RD-0064,Jl. Segment 64,Jalan Lingkungan,1.3,2,20,978,0,0,Baik,2022-10-12,-6.144983,106.906525,-6.139059,106.921398,Pluit,0,1186
RD-0065,Jl. Segment 65,Jalan Arteri,6.8,4,60,4988,1,0,Baik,2024-03-15,-6.119605,106.75913,-6.120164,106.768187,Grogol,0,6852
RD-0066,Jl. Segment 66,Jalan Lingkungan,0.7,2,30,880,0,0,Baik,2023-09-22,-6.2594,106.913179,-6.268692,106.917074,Senen,0,981
RD-0067,Jl. Segment 67,Jalan Arteri,6.3,4,50,6748,0,1,Rusak Ringan,2024-01-07,-6.156561,106.874324,-6.150339,106.893652,Kuningan,0,7047
RD-0068,Jl. Segment 68,Jalan Kolektor,3.0,2,50,2710,0,0,Rusak Ringan,2023-09-04,-6.294868,106.911435,-6.279477,106.899857,Cibubur,0,2133
RD-0069,Jl. Segment 69,Jalan Kolektor,3.5,4,60,5996,0,1,Cukup,2023-09-08,-6.199777,106.821613,-6.190666,106.839249,Senen,0,9009
RD-0070,Jl. Segment 70,Jalan Kolektor,1.2,4,50,3384,0,0,Rusak Ringan,2023-11-02,-6.174122,106.991179,-6.180048,107.004336,Depok,0,3569
RD-0071,Jl. Segment 71,Jalan Tol,7.2,4,100,6368,0,0,Cukup,2023-11-15,-6.342626,106.782702,-6.354592,106.783374,Depok,15000,8297
RD-0072,Jl. Segment 72,Jalan Arteri,7.4,4,80,6364,0,1,Baik,2023-11-07,-6.274204,106.980918,-6.289211,106.971776,Menteng,0,10915
RD-0073,Jl. Segment 73,Jalan Kolektor,1.5,4,50,5840,0,0,Baik,2023-05-01,-6.210248,106.992234,-6.226769,106.997742,Menteng,0,7800
RD-0074,Jl. Segment 74,Jalan Tol,13.5,8,80,13168,0,0,Cukup,2022-09-16,-6.270629,106.975717,-6.280447,106.95679,Sunter,5000,16205
RD-0075,Jl. Segment 75,Jalan Kolektor,2.8,2,40,2222,0,0,Rusak Berat,2022-06-03,-6.295411,106.821601,-6.285403,106.807202,Depok,0,3126
RD-0076,Jl. Segment 76,Jalan Lingkungan,2.1,1,20,420,0,0,Baik,2023-12-23,-6.250253,106.967498,-6.268558,106.96282,Sudirman,0,623
RD-0077,Jl. Segment 77,Jalan Tol,24.1,4,100,6252,0,0,Baik,2023-07-30,-6.257631,106.942792,-6.257197,106.929462,Sudirman,15000,7523
RD-0078,Jl. Segment 78,Jalan Tol,15.6,8,100,15568,1,0,Rusak Berat,2024-02-09,-6.178469,106.773248,-6.163827,106.791274,Slipi,25000,28394
RD-0079,Jl. Segment 79,Jalan Kolektor,4.0,2,60,2186,0,0,Cukup,2022-08-01,-6.150981,106.899315,-6.141078,106.881524,PIK,0,2540
RD-0080,Jl. Segment 80,Jalan Kolektor,1.6,2,50,2590,0,1,Baik,2023-09-21,-6.213804,106.91458,-6.211222,106.928164,Mangga Dua,0,4020
RD-0081,Jl. Segment 81,Jalan Kolektor,1.3,4,50,3700,0,1,Cukup,2023-07-13,-6.124581,106.806052,-6.134557,106.80994,Sudirman,0,5824
RD-0082,Jl. Segment 82,Jalan Kolektor,3.6,2,60,2254,0,1,Baik,2023-06-08,-6.288364,106.817472,-6.278796,106.813958,Senayan,0,3442
RD-0083,Jl. Segment 83,Jalan Lokal,2.5,2,40,1044,0,1,Cukup,2022-06-09,-6.306966,106.707473,-6.300107,106.726683,Cakung,0,1799
RD-0084,Jl. Segment 84,Jalan Tol,20.7,6,120,11262,1,0,Baik,2022-12-21,-6.112149,106.862129,-6.117636,106.867166,Cakung,25000,10516
RD-0085,Jl. Segment 85,Jalan Tol,9.2,4,80,7304,0,0,Rusak Ringan,2023-05-28,-6.277312,106.993764,-6.286666,106.999162,Pluit,5000,6808
RD-0086,Jl. Segment 86,Jalan Lokal,2.6,2,40,1194,0,1,Rusak Berat,2024-02-03,-6.285388,106.723021,-6.268295,106.710876,Senayan,0,1338
RD-0087,Jl. Segment 87,Jalan Lokal,2.8,1,40,432,0,1,Baik,2024-02-03,-6.29308,106.848848,-6.28077,106.843065,Sudirman,0,727
RD-0088,Jl. Segment 88,Jalan Arteri,3.5,4,80,7124,0,1,Cukup,2023-01-08,-6.195809,106.784934,-6.210423,106.776801,Cibubur,0,9130
RD-0089,Jl. Segment 89,Jalan Lokal,0.6,1,40,545,0,1,Baik,2022-11-07,-6.266859,106.896555,-6.256612,106.91059,PIK,0,534
RD-0090,Jl. Segment 90,Jalan Lingkungan,2.2,1,20,536,0,0,Baik,2023-07-12,-6.241755,106.990858,-6.22897,107.008155,Depok,0,533
RD-0091,Jl. Segment 91,Jalan Lingkungan,1.7,1,40,412,0,0,Rusak Berat,2023-09-05,-6.204771,106.895442,-6.220532,106.890538,PIK,0,651
RD-0092,Jl. Segment 92,Jalan Kolektor,3.5,2,50,1980,0,1,Baik,2024-03-11,-6.104212,106.830264,-6.096878,106.818187,Kemang,0,3572
RD-0093,Jl. Segment 93,Jalan Lingkungan,1.2,2,40,1308,0,1,Cukup,2023-10-06,-6.207902,106.830518,-6.214711,106.811095,Cakung,0,1381
RD-0094,Jl. Segment 94,Jalan Arteri,3.8,4,60,6928,0,1,Cukup,2023-02-08,-6.277778,106.925251,-6.285175,106.91144,Cawang,0,10954
RD-0095,Jl. Segment 95,Jalan Lokal,2.9,2,40,1334,0,1,Rusak Ringan,2024-02-09,-6.108713,106.88763,-6.09042,106.896597,PIK,0,1246
RD-0096,Jl. Segment 96,Jalan Arteri,9.8,4,60,4800,1,0,Rusak Ringan,2022-06-01,-6.251275,106.7402,-6.263058,106.736979,Senen,0,6394
RD-0097,Jl. Segment 97,Jalan Tol,5.8,6,80,11982,0,0,Baik,2022-04-05,-6.227854,106.904691,-6.229289,106.890604,Kelapa Gading,15000,9299
RD-0098,Jl. Segment 98,Jalan Lingkungan,0.4,1,30,738,0,1,Cukup,2022-05-09,-6.336696,106.99309,-6.348823,107.011265,Senayan,0,1068
RD-0099,Jl. Segment 99,Jalan Arteri,9.8,6,80,9396,1,0,Baik,2022-06-17,-6.14518,106.79882,-6.158564,106.811959,Senen,0,12643
RD-0100,Jl. Segment 100,Jalan Kolektor,2.6,4,50,4304,0,0,Baik,2023-04-29,-6.118532,106.874538,-6.123287,106.888525,Menteng,0,8935
RD-0101,Jl. Segment 101,Jalan Tol,10.6,6,80,9726,1,0,Baik,2024-01-19,-6.10603,106.90587,-6.120006,106.892223,Bekasi,5000,12626
RD-0102,Jl. Segment 102,Jalan Lingkungan,1.0,2,40,984,0,0,Baik,2022-11-25,-6.148128,106.978344,-6.143584,106.984453,Depok,0,1357
RD-0103,Jl. Segment 103,Jalan Kolektor,4.2,2,40,2554,0,1,Baik,2022-09-30,-6.260284,106.793636,-6.274171,106.801387,Menteng,0,2261
RD-0104,Jl. Segment 104,Jalan Kolektor,3.1,4,60,3672,0,0,Cukup,2023-01-02,-6.197976,106.951912,-6.188277,106.932685,Depok,0,3016
RD-0105,Jl. Segment 105,Jalan Lokal,0.3,1,30,751,0,0,Baik,2022-10-26,-6.327645,106.88088,-6.341975,106.900127,Menteng,0,1009
RD-0106,Jl. Segment 106,Jalan Lokal,1.9,1,30,769,0,1,Baik,2023-07-29,-6.298551,106.832264,-6.298378,106.832858,Pluit,0,553
RD-0107,Jl. Segment 107,Jalan Arteri,2.8,4,60,5072,1,1,Cukup,2022-06-13,-6.258611,106.892297,-6.251502,106.908873,Mangga Dua,0,5484
RD-0108,Jl. Segment 108,Jalan Tol,19.3,4,80,6528,1,0,Baik,2023-03-19,-6.200129,106.855835,-6.197016,106.851585,Depok,15000,9713
RD-0109,Jl. Segment 109,Jalan Kolektor,2.0,2,50,1616,0,0,Baik,2023-07-17,-6.273665,106.951304,-6.265464,106.966282,PIK,0,1694
RD-0110,Jl. Segment 110,Jalan Kolektor,2.7,2,40,1918,0,1,Baik,2024-02-05,-6.237822,106.813328,-6.231722,106.800647,Blok M,0,1484
RD-0111,Jl. Segment 111,Jalan Lokal,0.3,1,40,673,0,1,Baik,2022-06-21,-6.318615,106.834884,-6.300901,106.847984,Mangga Dua,0,834
RD-0112,Jl. Segment 112,Jalan Lingkungan,2.8,1,20,660,0,1,Baik,2023-04-13,-6.183708,106.924539,-6.190022,106.915338,Kuningan,0,803
RD-0113,Jl. Segment 113,Jalan Lingkungan,2.2,2,30,1380,0,0,Baik,2024-02-11,-6.140164,106.714297,-6.124552,106.725779,Grogol,0,1804
RD-0114,Jl. Segment 114,Jalan Lingkungan,1.5,2,40,1328,0,0,Baik,2023-01-05,-6.230329,106.87947,-6.24776,106.863401,Bekasi,0,1363
RD-0115,Jl. Segment 115,Jalan Lingkungan,1.9,2,40,1016,0,1,Rusak Ringan,2022-12-07,-6.330012,106.711333,-6.349155,106.727698,Senayan,0,768
RD-0116,Jl. Segment 116,Jalan Kolektor,4.2,4,50,5620,0,1,Baik,2023-02-15,-6.141396,106.887696,-6.130882,106.90634,Kuningan,0,4541
RD-0117,Jl. Segment 117,Jalan Tol,7.6,8,120,13752,1,0,Rusak Ringan,2023-02-11,-6.298834,106.97801,-6.3158,106.975265,Senayan,7000,11547
RD-0118,Jl. Segment 118,Jalan Tol,10.9,8,100,13272,1,0,Cukup,2024-02-05,-6.177667,106.941969,-6.161197,106.953914,Menteng,10000,17227
RD-0119,Jl. Segment 119,Jalan Lokal,2.2,1,20,501,0,0,Baik,2022-05-24,-6.239041,106.856741,-6.23423,106.850633,Grogol,0,823
RD-0120,Jl. Segment 120,Jalan Kolektor,4.9,2,50,2756,0,1,Baik,2023-11-28,-6.344264,106.916692,-6.363767,106.905226,Kuningan,0,2737
RD-0121,Jl. Segment 121,Jalan Kolektor,3.3,2,40,2504,0,0,Rusak Ringan,2023-02-05,-6.269115,106.804108,-6.283287,106.784845,Kuningan,0,4123
RD-0122,Jl. Segment 122,Jalan Kolektor,1.9,4,50,3720,0,1,Cukup,2022-10-04,-6.113802,106.866518,-6.101923,106.882438,Pluit,0,4709
RD-0123,Jl. Segment 123,Jalan Lingkungan,2.9,1,20,482,0,1,Cukup,2022-10-07,-6.123726,106.96898,-6.116991,106.952577,Sunter,0,697
RD-0124,Jl. Segment 124,Jalan Kolektor,4.3,4,60,4600,0,1,Baik,2023-02-05,-6.148069,106.991064,-6.167257,106.989665,Sudirman,0,3972
RD-0125,Jl. Segment 125,Jalan Tol,19.8,6,120,10908,0,0,Rusak Berat,2023-04-29,-6.154622,106.764443,-6.137787,106.781487,Grogol,5000,15761
RD-0126,Jl. Segment 126,Jalan Lingkungan,0.3,2,20,868,0,1,Baik,2022-09-15,-6.172951,106.764753,-6.153578,106.765922,Menteng,0,1031
RD-0127,Jl. Segment 127,Jalan Lokal,2.8,1,40,560,0,0,Baik,2023-08-07,-6.329858,106.887392,-6.337049,106.903885,Grogol,0,796
RD-0128,Jl. Segment 128,Jalan Lingkungan,2.4,2,40,1414,0,0,Rusak Berat,2022-07-02,-6.34636,106.780884,-6.344607,106.768011,PIK,0,1102
RD-0129,Jl. Segment 129,Jalan Tol,22.5,8,100,15976,1,0,Baik,2023-02-02,-6.148763,106.732101,-6.15948,106.721574,Cibubur,25000,14192
RD-0130,Jl. Segment 130,Jalan Kolektor,4.0,4,60,3780,0,0,Baik,2023-06-24,-6.149785,106.76061,-6.146949,106.773666,Mangga Dua,0,3886
RD-0131,Jl. Segment 131,Jalan Kolektor,2.6,2,60,2920,0,0,Baik,2023-05-14,-6.102745,106.901649,-6.12177,106.914168,Depok,0,3231
RD-0132,Jl. Segment 132,Jalan Tol,13.9,8,100,12968,0,0,Baik,2023-05-27,-6.138842,106.708579,-6.133224,106.720423,Cawang,15000,9815
RD-0133,Jl. Segment 133,Jalan Arteri,9.2,6,60,10752,1,1,Baik,2024-03-02,-6.17707,106.779685,-6.180622,106.785218,Senen,0,12774
RD-0134,Jl. Segment 134,Jalan Tol,21.1,8,100,14184,1,0,Baik,2024-02-01,-6.153774,106.934111,-6.171932,106.925736,Mangga Dua,15000,18523
RD-0135,Jl. Segment 135,Jalan Tol,14.8,8,80,12128,1,0,Baik,2022-06-14,-6.233788,106.838651,-6.229607,106.824592,Senayan,25000,15745
RD-0136,Jl. Segment 136,Jalan Lingkungan,1.3,2,20,918,0,0,Baik,2022-04-04,-6.278069,106.71538,-6.261334,106.709075,Mangga Dua,0,853
RD-0137,Jl. Segment 137,Jalan Lingkungan,2.1,1,40,444,0,0,Baik,2023-09-14,-6.240589,106.743749,-6.227502,106.751237,Bekasi,0,532
RD-0138,Jl. Segment 138,Jalan Arteri,8.8,4,80,5120,0,0,Baik,2022-12-02,-6.340068,106.862903,-6.350709,106.870282,Senen,0,7167
RD-0139,Jl. Segment 139,Jalan Kolektor,3.2,4,50,5824,0,0,Cukup,2022-09-26,-6.228993,106.957449,-6.217234,106.953323,PIK,0,9552
RD-0140,Jl. Segment 140,Jalan Lingkungan,1.3,1,40,534,0,0,Cukup,2023-02-17,-6.122682,106.788572,-6.112428,106.805151,Cawang,0,971
RD-0141,Jl. Segment 141,Jalan Tol,7.0,4,100,6828,1,0,Cukup,2023-08-23,-6.267277,106.929729,-6.276074,106.926024,Senen,10000,6826
RD-0142,Jl. Segment 142,Jalan Lingkungan,1.7,1,20,680,0,0,Baik,2022-04-30,-6.29715,106.800208,-6.304785,106.817107,PIK,0,508
RD-0143,Jl. Segment 143,Jalan Tol,16.9,6,100,11292,1,0,Cukup,2023-02-09,-6.102091,106.754647,-6.097287,106.756416,Tangerang,25000,11268
RD-0144,Jl. Segment 144,Jalan Arteri,8.5,4,60,5980,0,0,Baik,2022-04-28,-6.27231,106.761228,-6.287075,106.775563,Kemang,0,7623
RD-0145,Jl. Segment 145,Jalan Kolektor,5.0,2,50,1696,0,0,Baik,2022-04-25,-6.115097,106.977685,-6.122293,106.974422,Cakung,0,1791
RD-0146,Jl. Segment 146,Jalan Kolektor,3.9,2,50,2960,0,1,Baik,2022-09-08,-6.27297,106.939569,-6.274926,106.923302,Mangga Dua,0,3778
RD-0147,Jl. Segment 147,Jalan Tol,7.5,4,120,6460,0,0,Baik,2023-06-03,-6.199374,106.922984,-6.214109,106.908526,Kelapa Gading,5000,6156
RD-0148,Jl. Segment 148,Jalan Tol,7.8,4,80,6028,1,0,Cukup,2022-06-05,-6.107267,106.727882,-6.087672,106.739956,Menteng,15000,6095
RD-0149,Jl. Segment 149,Jalan Arteri,6.8,6,50,7956,0,1,Baik,2023-08-19,-6.265907,106.846878,-6.255413,106.833138,Cakung,0,10155
RD-0150,Jl. Segment 150,Jalan Lingkungan,0.5,2,30,1018,0,1,Baik,2023-07-22,-6.144809,106.984377,-6.143922,106.98842,Cawang,0,1254
RD-0151,Jl. Segment 151,Jalan Lingkungan,1.1,1,40,661,0,1,Rusak Ringan,2022-12-01,-6.345451,106.935468,-6.350646,106.953466,Kelapa Gading,0,844
RD-0152,Jl. Segment 152,Jalan Kolektor,4.5,2,50,2642,0,1,Cukup,2022-10-08,-6.267833,106.747978,-6.269825,106.756532,Grogol,0,2780
RD-0153,Jl. Segment 153,Jalan Lokal,0.7,1,30,643,0,0,Baik,2023-02-12,-6.194738,106.891756,-6.21365,106.909813,Cibubur,0,978
RD-0154,Jl. Segment 154,Jalan Lokal,1.9,2,30,1268,0,1,Cukup,2023-02-17,-6.207133,106.919794,-6.221948,106.902872,Cawang,0,1815
RD-0155,Jl. Segment 155,Jalan Lingkungan,2.1,1,20,479,0,0,Cukup,2023-02-13,-6.295214,106.808284,-6.281736,106.823308,Senen,0,353
RD-0156,Jl. Segment 156,Jalan Kolektor,5.0,2,50,2136,0,1,Baik,2023-09-01,-6.221012,106.987461,-6.22253,106.97259,Kuningan,0,1888
RD-0157,Jl. Segment 157,Jalan Lingkungan,2.0,1,40,671,0,0,Baik,2022-05-29,-6.332067,106.899775,-6.340955,106.881408,Blok M,0,1026
RD-0158,Jl. Segment 158,Jalan Lingkungan,1.7,2,30,1130,0,1,Baik,2024-02-10,-6.309833,106.811116,-6.313206,106.798932,Senen,0,1234
RD-0159,Jl. Segment 159,Jalan Kolektor,1.9,4,50,5560,0,0,Baik,2023-06-13,-6.255875,106.993378,-6.250728,106.987002,Senen,0,8468
RD-0160,Jl. Segment 160,Jalan Tol,17.6,4,100,6696,0,0,Cukup,2022-10-12,-6.247096,106.782557,-6.246512,106.781276,Senayan,5000,6659
RD-0161,Jl. Segment 161,Jalan Lingkungan,1.1,1,40,471,0,1,Cukup,2024-01-22,-6.178676,106.759649,-6.179708,106.769362,Mangga Dua,0,499
RD-0162,Jl. Segment 162,Jalan Lingkungan,2.6,1,20,602,0,0,Baik,2023-07-23,-6.247404,106.867174,-6.235457,106.851023,Mangga Dua,0,941
